stock_code,isin_code,company_name,industry,company_description
2673,JP3952900003,夢みつけ隊株式会社,小売業,中高年男性向け趣味などの通販展開。総合カタログ配布。不動産や介護事業も。
2674,JP3765120005,株式会社ハードオフコーポレーション,小売業,総合リユース業。PC・家電・家具・衣料などリサイクル店を全国に直営・FC展開。
2676,JP3457710006,高千穂交易株式会社,卸売業,エレクトロニクス商社老舗。商品監視システム機器やデバイスが主力。海外で防火システム。
2678,JP3119920001,アスクル株式会社,小売業,オフィス用品宅配サービスで先駆。家具なども販売。ヤフーと個人向けECで連携。
2681,JP3282400005,株式会社ゲオホールディングス,小売業,映像レンタル店を直営軸に全国展開。ゲーム・スマホ、衣料品の中古品販売が主力に。
2683,JP3155500006,株式会社魚喜,小売業,鮮魚小売りと持帰りすしを百貨店等に出店。回転寿司・魚レストラン事業も。
2685,JP3856000009,株式会社アダストリア,小売業,カジュアル衣料大手。20-30向け女性中心に複数ブランド店。生活雑貨、飲食店も。
2686,JP3536900008,株式会社ジーフット,小売業,紳士・婦人靴専門チェーン大手。イオン傘下でSCなどに全国展開。PB品を拡充。
2687,JP3346250008,株式会社シー・ヴイ・エス・ベイエリア,小売業,千葉、東京湾岸でホテル、コンビニ、マンションフロント事業を運営。受付でクリーニングサービス。
2689,JP3226700007,オルバヘルスケアホールディングス株式会社,卸売業,医療器材販売会社。瀬戸内中心に高シェア。試薬事業や介護事業など強化。
2692,JP3143700007,伊藤忠食品株式会社,卸売業,伊藤忠系の卸売商社。大口顧客にセブンアイグループ。酒類、飲料などに強み。
2693,JP3990750006,ＹＫＴ株式会社,卸売業,電子機器商社中堅。電子基板実装装置に強み。輸入工作・産業機械等も柱。
2694,JP3834150009,株式会社焼肉坂井ホールディングス,小売業,多業態の外食チェーン展開。回転ずしや居酒屋など。宅配ピザも。神戸物産系。
2695,JP3268200007,くら寿司株式会社,小売業,関西地盤の回転ずしチェーン「くら寿司」を直営で全国展開。店舗運営をIT化。
2698,JP3244550004,株式会社キャンドゥ,小売業,イオン系。100円ショップ大手。商業施設に出店。主婦層から若者・キッズに狙い。
2700,JP3240900005,木徳神糧株式会社,卸売業,米穀卸で首位級。セブンイレブンに供給。飼料、鶏卵、鶏肉、加工食品なども。
2702,JP3750500005,日本マクドナルドホールディングス株式会社,小売業,世界的ハンバーガーチェーンで外食国内首位級。大都市圏中心に直営店を展開。
2705,JP3188300002,株式会社大戸屋ホールディングス,小売業,首都圏中心に定食屋をチェーン展開。店舗内調理に特色。コロワイド傘下。
2706,JP3831500008,株式会社ブロッコリー,その他製品,PSP向けゲームソフト「うた☆プリ」シリーズ展開。カードゲーム「Z/X」が拡大。関連CDも。
2708,JP3266120009,株式会社久世,卸売業,首都圏地盤の業務用食材の卸売業者。外食産業向け中心。PB製造・開発も。
2715,JP3457690000,エレマテック株式会社,卸売業,電子部品・材料商社。顧客ニーズの設計部品が中心。豊田通商傘下で多角。
2721,JP3386180008,株式会社ジェイホールディングス,卸売業,フットサル施設運営が主。不動産テック事業も。太陽光事業、産廃処理に参入。
2722,JP3101100000,株式会社ＩＫホールディングス,小売業,カタログ通販を代行。生協向けに強み。テレビ通販展開。韓国化粧品直販に力。
2726,JP3781650001,株式会社パルグループホールディングス,小売業,10-20代向けファッション衣料、雑貨で多ブランド展開。雑貨店「3コインズ」が拡大。
2730,JP3164470001,株式会社エディオン,小売業,西日本地盤の家電量販大手。リフォーム事業にも注力。ニトリHDと資本業務提携。
2733,JP3125100002,株式会社あらた,卸売業,日用品卸で首位級。地方卸３社が合併。営業網は全国規模。PB品開発も。
2734,JP3310350008,株式会社サーラコーポレーション,小売業,中部ガスグループの持株会社。ガス販売、電力小売、住宅販売、建築土木など。
2735,JP3993950009,株式会社ワッツ,小売業,100円ショップ大手。小規模店で差別化。M&A積極。雑貨、ディスカウントも。海外拡大。
2736,JP3319700005,フェスタリアホールディングス株式会社,小売業,宝飾品を製造販売。眼鏡や時計も。百貨店中心にSCなど全国展開。
2737,JP3553900006,株式会社トーメンデバイス,卸売業,豊田通商系半導体商社。韓国サムスン電子向けに特化。DRAMやフラッシュメモリなど。
2742,JP3773750009,株式会社ハローズ,小売業,中国・四国で食品スーパーを展開。24時間営業が主体。ドミナント出店で効率化。
2743,JP3765210004,ピクセルカンパニーズ株式会社,卸売業,金融向けシステム開発が主力。IR関連から撤退。データセンター事業に注力へ。
2747,JP3843370002,北雄ラッキー株式会社,小売業,北海道内で食品スーパーを展開。有機・無農薬の生鮮品が武器。衣料品店も。
2749,JP3386190007,株式会社ＪＰホールディングス,サービス業,子育て支援最大手。認可保育所や学童クラブなど運営。筆頭株主に学研HD。
2750,JP3136950007,石光商事株式会社,卸売業,老舗のコーヒー輸入商社。業務用で高シェア。冷凍・常温食品も。海外で日本食。
2751,JP3547700009,株式会社テンポスホールディングス,卸売業,中古厨房機器を再生販売。新品販売も併営。内装工事受託や飲食業も。
2752,JP3807770007,株式会社フジオフードグループ本社,小売業,関西地盤に大衆セルフ食堂「まいどおおきに」などを直営・FC展開。全国進出。
2753,JP3124450002,株式会社あみやき亭,小売業,東海地盤の焼き肉チェーン。「あみやき亭」、「美濃路」など。子会社にスエヒロ。
2754,JP3854630005,株式会社東葛ホールディングス,小売業,ホンダ系自動車ディーラー。千葉県北西部が拠点。板金塗装や保険代理店も。
2760,JP3571600000,東京エレクトロン　デバイス株式会社,卸売業,電子部品の半導体商社。主に米国製を扱う。設計受託で産業用に強み。
2762,JP3332520000,株式会社ＳＡＮＫＯ　ＭＡＲＫＥＴＩＮＧ　ＦＯＯＤＳ,小売業,都内中心に居酒屋や外食店直営。大箱店を閉店、食堂受託等へ。水産業も。
2763,JP3166940001,株式会社エフティグループ,卸売業,光通信系。通信関連機器販売。ビジネスホンやOA機器、LEDなど。IT関連サービスも。
2764,JP3796000002,株式会社ひらまつ,小売業,高級レストラン展開。創業者の平松氏がシェフを兼任。日本料理店やホテル事業も。
2767,JP3802680003,円谷フィールズホールディングス株式会社,卸売業,遊技機販売大手。企画開発、版権ビジネス展開。円谷プロ買収で映像コンテンツも。
2768,JP3663900003,双日株式会社,卸売業,総合商社。ニチメン、日商岩井が母体。自動車、資源、肥料主力。航空機に強み。
2769,JP3159960008,株式会社ヴィレッジヴァンガードコーポレーション,小売業,書籍や雑貨、CD、食品などの複合店を全国展開。飲食事業は譲渡。
2776,JP3270600004,新都ホールディングス株式会社,卸売業,アパレル卸から日中貿易転換。ユニフォーム、日本酒を取扱。プラ再資源化が収益。
2777,JP3212300002,株式会社カッシーナ・イクスシー,卸売業,伊カッシーナの家具を輸入販売。ライセンス生産も。傘下にコンランショップ、ジーマティック。
2778,JP3782800001,パレモ・ホールディングス株式会社,小売業,西松屋系。婦人衣料・雑貨の専門店をチェーン展開。ユニー、イオンへの出店が多い。
2780,JP3305590006,株式会社コメ兵ホールディングス,小売業,名古屋を本拠に中古ブランド品販売トップ。新品も扱う。法人向けオークション積極。
2782,JP3423520000,株式会社セリア,小売業,100円ショップ大手。中部地方軸に全国展開。POS活用と商品開発に注力。
2784,JP3126340003,アルフレッサ　ホールディングス株式会社,卸売業,医薬品卸最大手。福神とアズウェルが統合。医薬品・受託製造や医療器販売も。
2788,JP3121170009,アップルインターナショナル株式会社,卸売業,国内で中古車買取り専門店「アップル」を展開。東南アジアで中古車輸出拡大。
2789,JP3220800001,株式会社カルラ,小売業,東北・北関東を中心に、和食ファミレス「まるまつ」をチェーン展開。カニ、ソバ専門店も。
2790,JP3651160008,株式会社ナフコ,小売業,ホームセンター大手。九州から関西・関東に進出。家具専門店との併設店が主力。
2791,JP3483050005,大黒天物産株式会社,小売業,岡山地盤の食品ディスカウントストア。24時間店舗を展開。SC向け複合大型店も。
2792,JP3770080004,株式会社ハニーズホールディングス,小売業,婦人服製造販売大手。カジュアル衣料中心。EC、服飾雑貨を強化。ミャンマーに工場。
2795,JP3749250001,日本プリメックス株式会社,卸売業,小型プリンター専門で、国内首位。レジなど領収証発行のOEM製品が主力。
2796,JP3802320006,ファーマライズホールディングス株式会社,小売業,調剤薬局中堅。ファミリーマート、薬ヒグチと店舗開発。医学資料保管も。M&Aで拡大。
2798,JP3990760005,株式会社ワイズテーブルコーポレーション,小売業,レストラン・バーを運営。高級店「XEX」やピザ店が主力。デリバリー、パーティー部門も。
2801,JP3240400006,キッコーマン株式会社,食料品,醤油で首位。酒類や食品も展開。北米事業が収益。アジアでデルモンテ商標権。
2802,JP3119600009,味の素株式会社,食料品,総合食品会社で調味料首位。医薬品や飼料など多角展開。M&Aに意欲。
2804,JP3831200005,ブルドックソース株式会社,食料品,東日本地盤でソース最大手。家庭用主体で業務用に進出。傘下に関西イカリソース。
2805,JP3163600004,ヱスビー食品株式会社,食料品,香辛料最大手。スパイスでシェア過半。カレーなど即席食品やパスタソースにも強み。
2806,JP3949200004,ユタカフーズ株式会社,食料品,東海地盤の食品製造中堅。東洋水産系。麺類が主力。自社開発品を強化。
2809,JP3244800003,キユーピー株式会社,食料品,マヨネーズ・ドレッシング最大手。サラダ・惣菜も。医・介護食やファインケミカルにも展開。
2810,JP3765400001,ハウス食品グループ本社株式会社,食料品,カレー、シチュー用ルウでトップ。飲料、健康食品も。乳酸菌事業を拡大。米国で豆腐。
2811,JP3208200000,カゴメ株式会社,食料品,トマト加工品で首位。飲料ブランドに強み。農産品事業を育成。海外で業務用。
2812,JP3930100007,焼津水産化学工業株式会社,食料品,魚介類系天然調味料メーカー。機能性食品素材に強み。健康食品素材を強化。
2813,JP3993000003,和弘食品株式会社,食料品,ラーメンスープと麺つゆの中堅。メーカー、飲食店向けが主力。日清オイリオと提携。
2814,JP3322100003,佐藤食品工業株式会社,食料品,業務用天然調味料エキス専業。粉体化技術に定評。菓子向けや茶エキスが主力。
2815,JP3125800007,アリアケジャパン株式会社,食料品,畜産系エキスの天然調味料で首位。業務用中心。抽出から加工まで一貫生産。
2816,JP3483900001,株式会社ダイショー,食料品,調味料を製造販売。鍋スープ大手。塩コショウ、たれ、粉末青汁も。海外に進出。
2818,JP3801590005,株式会社ピエトロ,食料品,サラダドレッシングが収益源。パスタソースやスープも。パスタレストランを全国展開。
2819,JP3165930003,エバラ食品工業株式会社,食料品,調味料大手。「焼き肉のたれ」が主力でシェア首位。広告宣伝に積極的。
2820,JP3943100002,株式会社やまみ,食料品,西日本が主力、中国地方で高シェア。豆腐、厚揚げ、油揚げ等の製造、販売。
2830,JP3105900009,アヲハタ株式会社,食料品,家庭用ジャム高シェア。業務用フルーツ加工や生産受託、介護食も。キユーピー子会社。
2831,JP3767600004,はごろもフーズ株式会社,食料品,「シーチキン」ブランドでツナ缶最大手。パック米飯やパスタ、ペットフードも。協力工場多数。
2871,JP3665200006,株式会社ニチレイ,食料品,冷蔵倉庫と冷凍食品でトップ。水産、畜産も。低温物流事業に強み。
2872,JP3415600000,株式会社セイヒョー,食料品,ＯＥＭ中心の氷菓製造会社。森永乳業向けが主力。自社ブランドも展開。
2874,JP3957000007,横浜冷凍株式会社,卸売業,冷蔵倉庫大手。水産品中心に農畜産物の加工、販売も。物流センター拡張。
2875,JP3613000003,東洋水産株式会社,食料品,総合食品事業。冷蔵から即席麺大手に。米、メキシコで圧倒的首位。加工食も。
2876,JP3385950005,株式会社デルソーレ,食料品,冷凍・冷蔵ピザを製造販売。関連食品も。ドミノピザと提携。外食チェーン併営。
2877,JP3684300001,日東ベスト株式会社,食料品,冷凍食品中堅。業務用が主力。介護食やコンビニ向けも。コンビーフ缶製造首位。
